pair_id,direction,intervention,clean_pred,patched_pred,delta_h_med,delta_bad_logit,flip,windows
3,necessity,same-class,medium,medium,0.029511332511901855,-0.007220745086669922,0,"[[110, 141], [72, 103], [366, 397]]"
3,necessity,donor global-mean,medium,medium,0.01669895648956299,-0.01546478271484375,0,"[[110, 141], [72, 103], [366, 397]]"
3,sufficiency,top-local,good,good,0.04015493392944336,-0.007709026336669922,0,"[[110, 141], [72, 103], [366, 397]]"
3,sufficiency,random,good,good,0.015566587448120117,-0.03285026550292969,0,"[[27, 58], [106, 137], [304, 335]]"
3,sufficiency,same-class,good,good,0.01266932487487793,-0.029059410095214844,0,"[[110, 141], [72, 103], [366, 397]]"
3,sufficiency,donor global-mean,good,good,0.025878429412841797,-0.005724430084228516,0,"[[110, 141], [72, 103], [366, 397]]"
4,necessity,top-local,medium,medium,0.008857488632202148,0.011567115783691406,0,"[[120, 151], [67, 98], [158, 189]]"
4,necessity,random,medium,medium,0.007953166961669922,0.008707046508789062,0,"[[153, 184], [44, 75], [91, 122]]"
4,necessity,same-class,medium,medium,0.37417078018188477,-0.09804058074951172,0,"[[120, 151], [67, 98], [158, 189]]"
4,necessity,donor global-mean,medium,medium,-0.007164478302001953,-0.05953645706176758,0,"[[120, 151], [67, 98], [158, 189]]"
4,sufficiency,top-local,good,good,0.03240334987640381,0.02764129638671875,0,"[[120, 151], [67, 98], [158, 189]]"
4,sufficiency,random,good,good,0.10095179080963135,0.045683860778808594,0,"[[153, 184], [44, 75], [91, 122]]"
4,sufficiency,same-class,good,good,-0.054904818534851074,0.07944726943969727,0,"[[120, 151], [67, 98], [158, 189]]"
4,sufficiency,donor global-mean,good,good,-0.03186500072479248,0.08452510833740234,0,"[[120, 151], [67, 98], [158, 189]]"
5,necessity,top-local,medium,medium,-0.18576812744140625,0.04498147964477539,0,"[[141, 172], [175, 206], [594, 625]]"
5,necessity,random,medium,medium,-0.07567477226257324,0.026940345764160156,0,"[[497, 528], [395, 426], [350, 381]]"
5,necessity,same-class,medium,medium,-0.15152406692504883,0.056000709533691406,0,"[[141, 172], [175, 206], [594, 625]]"
5,necessity,donor global-mean,medium,medium,-0.17396199703216553,0.006458759307861328,0,"[[141, 172], [175, 206], [594, 625]]"
5,sufficiency,top-local,good,good,0.1047825813293457,0.07054328918457031,0,"[[141, 172], [175, 206], [594, 625]]"
5,sufficiency,random,good,good,0.07613039016723633,0.03522777557373047,0,"[[497, 528], [395, 426], [350, 381]]"
5,sufficiency,same-class,good,good,-0.07439374923706055,-0.054877281188964844,0,"[[141, 172], [175, 206], [594, 625]]"
5,sufficiency,donor global-mean,good,good,0.003886699676513672,0.005269050598144531,0,"[[141, 172], [175, 206], [594, 625]]"
6,necessity,top-local,medium,medium,-0.03841114044189453,0.02233409881591797,0,"[[0, 31], [228, 259], [366, 397]]"
6,necessity,random,medium,medium,-0.0634922981262207,-0.025112152099609375,0,"[[241, 272], [129, 160], [76, 107]]"
6,necessity,same-class,medium,medium,-0.002682209014892578,-0.0417180061340332,0,"[[0, 31], [228, 259], [366, 397]]"
6,necessity,donor global-mean,medium,medium,-0.03348803520202637,-0.07592296600341797,0,"[[0, 31], [228, 259], [366, 397]]"
6,sufficiency,top-local,good,good,0.34041357040405273,0.09274673461914062,0,"[[0, 31], [228, 259], [366, 397]]"
6,sufficiency,random,good,good,0.3685264587402344,0.09004402160644531,0,"[[241, 272], [129, 160], [76, 107]]"
6,sufficiency,same-class,good,good,0.25925493240356445,0.06211090087890625,0,"[[0, 31], [228, 259], [366, 397]]"
6,sufficiency,donor global-mean,good,good,0.08038187026977539,0.011308670043945312,0,"[[0, 31], [228, 259], [366, 397]]"
7,necessity,top-local,medium,medium,0.07121133804321289,0.004574775695800781,0,"[[0, 31], [594, 625], [214, 245]]"
7,necessity,random,medium,medium,-0.07975292205810547,-0.02358388900756836,0,"[[26, 57], [193, 224], [403, 434]]"
7,necessity,same-class,medium,medium,-0.05428004264831543,0.02267169952392578,0,"[[0, 31], [594, 625], [214, 245]]"
7,necessity,donor global-mean,medium,medium,-0.061940908432006836,0.005476951599121094,0,"[[0, 31], [594, 625], [214, 245]]"
7,sufficiency,top-local,good,good,0.0059528350830078125,0.02727794647216797,0,"[[0, 31], [594, 625], [214, 245]]"
7,sufficiency,random,good,good,-0.02479696273803711,-0.0468902587890625,0,"[[26, 57], [193, 224], [403, 434]]"
7,sufficiency,same-class,good,good,0.024712800979614258,0.048795223236083984,0,"[[0, 31], [594, 625], [214, 245]]"
7,sufficiency,donor global-mean,good,good,0.0038912296295166016,0.03750753402709961,0,"[[0, 31], [594, 625], [214, 245]]"
8,necessity,top-local,medium,medium,0.23288178443908691,0.08892250061035156,0,"[[0, 31], [256, 287], [187, 218]]"
8,necessity,random,medium,medium,0.020589351654052734,-0.08338069915771484,0,"[[493, 524], [203, 234], [418, 449]]"
8,necessity,same-class,medium,medium,0.14612388610839844,-0.03612041473388672,0,"[[0, 31], [256, 287], [187, 218]]"
8,necessity,donor global-mean,medium,medium,-0.02228546142578125,-0.05431842803955078,0,"[[0, 31], [256, 287], [187, 218]]"
8,sufficiency,top-local,medium,medium,0.04967451095581055,0.006774425506591797,0,"[[0, 31], [256, 287], [187, 218]]"
8,sufficiency,random,medium,medium,-0.002083897590637207,-0.01998138427734375,0,"[[493, 524], [203, 234], [418, 449]]"
8,sufficiency,same-class,medium,medium,-0.023518919944763184,-0.008922100067138672,0,"[[0, 31], [256, 287], [187, 218]]"
8,sufficiency,donor global-mean,medium,medium,0.04395735263824463,0.01741504669189453,0,"[[0, 31], [256, 287], [187, 218]]"
9,necessity,top-local,medium,medium,-0.09331083297729492,0.009409427642822266,0,"[[471, 502], [589, 620], [440, 471]]"
9,necessity,random,medium,medium,0.036611318588256836,0.13376379013061523,0,"[[131, 162], [46, 77], [290, 321]]"
9,necessity,same-class,medium,medium,-0.10411500930786133,-0.052179813385009766,0,"[[471, 502], [589, 620], [440, 471]]"
9,necessity,donor global-mean,medium,medium,-0.1028590202331543,-0.050984859466552734,0,"[[471, 502], [589, 620], [440, 471]]"
9,sufficiency,top-local,good,good,0.01961374282836914,0.018320083618164062,0,"[[471, 502], [589, 620], [440, 471]]"
9,sufficiency,random,good,good,0.05784320831298828,0.008609771728515625,0,"[[131, 162], [46, 77], [290, 321]]"
9,sufficiency,same-class,good,good,0.00383758544921875,0.009990692138671875,0,"[[471, 502], [589, 620], [440, 471]]"
9,sufficiency,donor global-mean,good,good,0.033742427825927734,0.016851425170898438,0,"[[471, 502], [589, 620], [440, 471]]"
10,necessity,top-local,medium,medium,0.18641424179077148,0.051138877868652344,0,"[[1, 32], [365, 396], [40, 71]]"
10,necessity,random,medium,medium,0.04371678829193115,-0.0043735504150390625,0,"[[570, 601], [409, 440], [33, 64]]"
10,necessity,same-class,medium,medium,-0.05146431922912598,0.02877521514892578,0,"[[1, 32], [365, 396], [40, 71]]"
10,necessity,donor global-mean,medium,medium,-0.06689882278442383,-0.010524272918701172,0,"[[1, 32], [365, 396], [40, 71]]"
10,sufficiency,top-local,good,good,0.2862734794616699,0.14124011993408203,0,"[[1, 32], [365, 396], [40, 71]]"
10,sufficiency,random,good,good,-0.04807901382446289,-0.003387451171875,0,"[[570, 601], [409, 440], [33, 64]]"
10,sufficiency,same-class,good,good,0.3242380619049072,0.1858816146850586,0,"[[1, 32], [365, 396], [40, 71]]"
10,sufficiency,donor global-mean,good,good,0.30372142791748047,0.16463851928710938,0,"[[1, 32], [365, 396], [40, 71]]"
11,necessity,top-local,medium,medium,0.0038907527923583984,0.016046524047851562,0,"[[594, 625], [250, 281], [484, 515]]"
11,necessity,random,medium,medium,0.15819787979125977,0.07555198669433594,0,"[[319, 350], [479, 510], [127, 158]]"
11,necessity,same-class,medium,medium,0.08590948581695557,0.0024232864379882812,0,"[[594, 625], [250, 281], [484, 515]]"
11,necessity,donor global-mean,medium,medium,-0.009063720703125,0.0027222633361816406,0,"[[594, 625], [250, 281], [484, 515]]"
11,sufficiency,top-local,good,good,-0.005819559097290039,0.012277603149414062,0,"[[594, 625], [250, 281], [484, 515]]"
11,sufficiency,random,good,good,0.05991315841674805,0.07520866394042969,0,"[[319, 350], [479, 510], [127, 158]]"
11,sufficiency,same-class,good,good,0.015847444534301758,0.03625679016113281,0,"[[594, 625], [250, 281], [484, 515]]"
11,sufficiency,donor global-mean,good,good,0.018305301666259766,0.028413772583007812,0,"[[594, 625], [250, 281], [484, 515]]"
12,necessity,top-local,medium,medium,-0.03492259979248047,-0.09636735916137695,0,"[[0, 31], [423, 454], [31, 62]]"
12,necessity,random,medium,medium,-0.013175725936889648,0.012943267822265625,0,"[[469, 500], [571, 602], [323, 354]]"
12,necessity,same-class,medium,medium,-0.04418492317199707,-0.11501646041870117,0,"[[0, 31], [423, 454], [31, 62]]"
12,necessity,donor global-mean,medium,medium,-0.023212909698486328,-0.12378072738647461,0,"[[0, 31], [423, 454], [31, 62]]"
12,sufficiency,top-local,good,good,0.03619217872619629,0.0071773529052734375,0,"[[0, 31], [423, 454], [31, 62]]"
12,sufficiency,random,good,good,-0.005809783935546875,0.02241802215576172,0,"[[469, 500], [571, 602], [323, 354]]"
12,sufficiency,same-class,good,good,0.008267879486083984,-0.00048732757568359375,0,"[[0, 31], [423, 454], [31, 62]]"
12,sufficiency,donor global-mean,good,good,0.016203641891479492,0.025842666625976562,0,"[[0, 31], [423, 454], [31, 62]]"
13,necessity,top-local,medium,medium,-0.05051267147064209,-0.012951374053955078,0,"[[587, 618], [342, 373], [540, 571]]"
13,necessity,random,medium,medium,-0.030907630920410156,0.01605081558227539,0,"[[271, 302], [24, 55], [324, 355]]"
13,necessity,same-class,medium,medium,-0.059781789779663086,-0.03795337677001953,0,"[[587, 618], [342, 373], [540, 571]]"
13,necessity,donor global-mean,medium,medium,-0.062030911445617676,-0.03149747848510742,0,"[[587, 618], [342, 373], [540, 571]]"
13,sufficiency,top-local,good,good,0.0240325927734375,-0.005213737487792969,0,"[[587, 618], [342, 373], [540, 571]]"
13,sufficiency,random,good,good,0.06249809265136719,0.03637123107910156,0,"[[271, 302], [24, 55], [324, 355]]"
13,sufficiency,same-class,good,good,-0.14319396018981934,-0.12080669403076172,0,"[[587, 618], [342, 373], [540, 571]]"
13,sufficiency,donor global-mean,good,good,0.03518366813659668,0.04121685028076172,0,"[[587, 618], [342, 373], [540, 571]]"
14,necessity,top-local,medium,medium,0.04632568359375,-0.11131572723388672,0,"[[6, 37], [44, 75], [306, 337]]"
14,necessity,random,medium,medium,-0.09018468856811523,-0.005002021789550781,0,"[[468, 499], [238, 269], [109, 140]]"
14,necessity,same-class,medium,medium,-0.04336667060852051,-0.10952043533325195,0,"[[6, 37], [44, 75], [306, 337]]"
14,necessity,donor global-mean,medium,medium,-0.04061579704284668,-0.11408567428588867,0,"[[6, 37], [44, 75], [306, 337]]"
14,sufficiency,top-local,good,good,0.016975879669189453,0.001216888427734375,0,"[[6, 37], [44, 75], [306, 337]]"
14,sufficiency,random,good,good,0.08932685852050781,0.030843734741210938,0,"[[468, 499], [238, 269], [109, 140]]"
14,sufficiency,same-class,good,good,-0.004845142364501953,-0.007928848266601562,0,"[[6, 37], [44, 75], [306, 337]]"
14,sufficiency,donor global-mean,good,good,-0.0017900466918945312,-0.01250457763671875,0,"[[6, 37], [44, 75], [306, 337]]"
15,necessity,top-local,medium,medium,-0.007664680480957031,0.18409156799316406,0,"[[413, 444], [372, 403], [341, 372]]"
15,necessity,random,medium,medium,0.3832993507385254,0.06172037124633789,0,"[[213, 244], [311, 342], [451, 482]]"
15,necessity,same-class,medium,medium,-0.05065727233886719,-0.005274772644042969,0,"[[413, 444], [372, 403], [341, 372]]"
15,necessity,donor global-mean,medium,medium,-0.04572343826293945,-0.028054237365722656,0,"[[413, 444], [372, 403], [341, 372]]"
15,sufficiency,top-local,good,good,0.3035762310028076,0.17043399810791016,0,"[[413, 444], [372, 403], [341, 372]]"
15,sufficiency,random,good,good,-0.175368070602417,-0.16842079162597656,0,"[[213, 244], [311, 342], [451, 482]]"
15,sufficiency,same-class,good,good,0.0,0.0,0,"[[413, 444], [372, 403], [341, 372]]"
15,sufficiency,donor global-mean,good,good,0.3655128479003906,0.23379039764404297,0,"[[413, 444], [372, 403], [341, 372]]"
16,necessity,top-local,medium,medium,-0.035490989685058594,-0.2779827117919922,0,"[[0, 31], [594, 625], [41, 72]]"
16,necessity,random,medium,medium,-0.0018343925476074219,0.1185770034790039,0,"[[364, 395], [444, 475], [305, 336]]"
16,necessity,same-class,medium,medium,-0.15324878692626953,-0.13049840927124023,0,"[[0, 31], [594, 625], [41, 72]]"
16,necessity,donor global-mean,medium,medium,-0.0015840530395507812,-0.37657737731933594,0,"[[0, 31], [594, 625], [41, 72]]"
16,sufficiency,top-local,good,good,0.06722116470336914,0.010271072387695312,0,"[[0, 31], [594, 625], [41, 72]]"
16,sufficiency,random,good,good,0.031037569046020508,0.018583297729492188,0,"[[364, 395], [444, 475], [305, 336]]"
16,sufficiency,same-class,good,good,0.027812957763671875,0.006470680236816406,0,"[[0, 31], [594, 625], [41, 72]]"
16,sufficiency,donor global-mean,good,good,0.007136821746826172,0.010991096496582031,0,"[[0, 31], [594, 625], [41, 72]]"
17,necessity,top-local,medium,medium,0.1916370391845703,-0.0006976127624511719,0,"[[594, 625], [369, 400], [169, 200]]"
17,necessity,random,medium,medium,-0.060947418212890625,0.019910812377929688,0,"[[96, 127], [176, 207], [131, 162]]"
17,necessity,same-class,medium,medium,0.04629063606262207,-0.016625404357910156,0,"[[594, 625], [369, 400], [169, 200]]"
17,necessity,donor global-mean,medium,medium,0.039617300033569336,-0.11760807037353516,0,"[[594, 625], [369, 400], [169, 200]]"
17,sufficiency,top-local,good,good,0.3000011444091797,0.1306600570678711,0,"[[594, 625], [369, 400], [169, 200]]"
17,sufficiency,random,good,good,0.06944441795349121,0.02017688751220703,0,"[[96, 127], [176, 207], [131, 162]]"
17,sufficiency,same-class,good,good,0.3110682964324951,0.12820911407470703,0,"[[594, 625], [369, 400], [169, 200]]"
17,sufficiency,donor global-mean,good,good,0.29092979431152344,0.1279001235961914,0,"[[594, 625], [369, 400], [169, 200]]"
18,necessity,top-local,medium,medium,-0.21869993209838867,0.562075138092041,0,"[[372, 403], [334, 365], [594, 625]]"
18,necessity,random,medium,medium,-0.028118610382080078,-0.018543720245361328,0,"[[306, 337], [118, 149], [32, 63]]"
18,necessity,same-class,medium,medium,-0.02189016342163086,0.052381038665771484,0,"[[372, 403], [334, 365], [594, 625]]"
18,necessity,donor global-mean,medium,medium,-0.02996969223022461,-0.021123409271240234,0,"[[372, 403], [334, 365], [594, 625]]"
18,sufficiency,top-local,good,good,0.06274962425231934,0.0012216567993164062,0,"[[372, 403], [334, 365], [594, 625]]"
18,sufficiency,random,good,good,0.05374324321746826,-0.00024890899658203125,0,"[[306, 337], [118, 149], [32, 63]]"
18,sufficiency,same-class,good,good,0.11957192420959473,0.12000274658203125,0,"[[372, 403], [334, 365], [594, 625]]"
18,sufficiency,donor global-mean,good,good,0.05432701110839844,0.025110244750976562,0,"[[372, 403], [334, 365], [594, 625]]"
19,necessity,top-local,medium,medium,0.1808147430419922,0.044200897216796875,0,"[[344, 375], [309, 340], [590, 621]]"
19,necessity,random,medium,medium,-0.005635261535644531,-0.018822193145751953,0,"[[538, 569], [334, 365], [372, 403]]"
19,necessity,same-class,medium,medium,0.03174448013305664,-0.12669801712036133,0,"[[344, 375], [309, 340], [590, 621]]"
19,necessity,donor global-mean,medium,medium,0.01921987533569336,-0.1191568374633789,0,"[[344, 375], [309, 340], [590, 621]]"
19,sufficiency,top-local,good,good,-0.23096346855163574,-0.1997547149658203,0,"[[344, 375], [309, 340], [590, 621]]"
19,sufficiency,random,good,good,-0.025618314743041992,-0.0785837173461914,0,"[[538, 569], [334, 365], [372, 403]]"
19,sufficiency,same-class,good,good,-0.16434979438781738,-0.1379680633544922,0,"[[344, 375], [309, 340], [590, 621]]"
19,sufficiency,donor global-mean,good,good,-0.1530911922454834,-0.1098928451538086,0,"[[344, 375], [309, 340], [590, 621]]"
20,necessity,top-local,medium,medium,-0.05254721641540527,-0.020685672760009766,0,"[[1, 32], [158, 189], [106, 137]]"
20,necessity,random,medium,medium,-0.018536806106567383,0.0925893783569336,0,"[[214, 245], [590, 621], [517, 548]]"
20,necessity,same-class,medium,medium,-0.03565502166748047,0.005576133728027344,0,"[[1, 32], [158, 189], [106, 137]]"
20,necessity,donor global-mean,medium,medium,-0.04874467849731445,-0.06600093841552734,0,"[[1, 32], [158, 189], [106, 137]]"
20,sufficiency,top-local,good,good,0.10263419151306152,0.048201560974121094,0,"[[1, 32], [158, 189], [106, 137]]"
20,sufficiency,random,good,good,-0.05059075355529785,-0.010767936706542969,0,"[[214, 245], [590, 621], [517, 548]]"
20,sufficiency,same-class,good,good,0.05502724647521973,0.012182235717773438,0,"[[1, 32], [158, 189], [106, 137]]"
20,sufficiency,donor global-mean,good,good,0.059572696685791016,0.03830528259277344,0,"[[1, 32], [158, 189], [106, 137]]"
21,necessity,top-local,medium,medium,0.025717496871948242,0.050469398498535156,0,"[[0, 31], [134, 165], [170, 201]]"
21,necessity,random,medium,medium,0.09218907356262207,0.010768413543701172,0,"[[563, 594], [133, 164], [470, 501]]"
21,necessity,same-class,medium,medium,-0.0803842544555664,0.03599882125854492,0,"[[0, 31], [134, 165], [170, 201]]"
21,necessity,donor global-mean,medium,medium,-0.02770853042602539,-0.08611679077148438,0,"[[0, 31], [134, 165], [170, 201]]"
21,sufficiency,top-local,good,good,-0.0062713623046875,-0.020010948181152344,0,"[[0, 31], [134, 165], [170, 201]]"
21,sufficiency,random,good,good,0.005101203918457031,-0.0016813278198242188,0,"[[563, 594], [133, 164], [470, 501]]"
21,sufficiency,same-class,good,good,-0.0004520416259765625,-0.006770133972167969,0,"[[0, 31], [134, 165], [170, 201]]"
21,sufficiency,donor global-mean,good,good,0.022834300994873047,-0.0007762908935546875,0,"[[0, 31], [134, 165], [170, 201]]"
22,necessity,top-local,medium,medium,0.09865236282348633,-0.02866840362548828,0,"[[0, 31], [456, 487], [594, 625]]"
22,necessity,random,medium,medium,0.36679697036743164,-0.23928356170654297,0,"[[82, 113], [538, 569], [421, 452]]"
22,necessity,same-class,medium,medium,0.02828216552734375,-0.042853355407714844,0,"[[0, 31], [456, 487], [594, 625]]"
22,necessity,donor global-mean,medium,medium,-0.0005879402160644531,-0.051653385162353516,0,"[[0, 31], [456, 487], [594, 625]]"
22,sufficiency,top-local,good,good,0.006195545196533203,0.020004749298095703,0,"[[0, 31], [456, 487], [594, 625]]"
22,sufficiency,random,good,good,0.055272459983825684,-0.012642383575439453,0,"[[82, 113], [538, 569], [421, 452]]"
22,sufficiency,same-class,good,good,0.0018308162689208984,0.05818891525268555,0,"[[0, 31], [456, 487], [594, 625]]"
22,sufficiency,donor global-mean,good,good,0.0030295848846435547,0.05297708511352539,0,"[[0, 31], [456, 487], [594, 625]]"
23,necessity,top-local,medium,medium,0.19747304916381836,-0.027072906494140625,0,"[[0, 31], [594, 625], [343, 374]]"
23,necessity,random,medium,medium,0.27660417556762695,-0.06427240371704102,0,"[[294, 325], [40, 71], [495, 526]]"
23,necessity,same-class,medium,medium,0.0014235973358154297,-0.011655330657958984,0,"[[0, 31], [594, 625], [343, 374]]"
23,necessity,donor global-mean,medium,medium,-0.0015292167663574219,-0.06869983673095703,0,"[[0, 31], [594, 625], [343, 374]]"
23,sufficiency,top-local,good,good,0.0520482063293457,-0.041052818298339844,0,"[[0, 31], [594, 625], [343, 374]]"
23,sufficiency,random,good,good,-0.009127020835876465,-0.039485931396484375,0,"[[294, 325], [40, 71], [495, 526]]"
23,sufficiency,same-class,good,good,0.045406222343444824,-0.03698921203613281,0,"[[0, 31], [594, 625], [343, 374]]"
23,sufficiency,donor global-mean,good,good,0.06412124633789062,-0.0003666877746582031,0,"[[0, 31], [594, 625], [343, 374]]"
24,necessity,top-local,medium,medium,-0.016714096069335938,-0.07083940505981445,0,"[[0, 31], [432, 463], [31, 62]]"
24,necessity,random,medium,medium,-0.014671564102172852,0.10029125213623047,0,"[[406, 437], [15, 46], [272, 303]]"
24,necessity,same-class,medium,medium,-0.024412870407104492,-0.09221696853637695,0,"[[0, 31], [432, 463], [31, 62]]"
24,necessity,donor global-mean,medium,medium,-0.012735128402709961,-0.11240005493164062,0,"[[0, 31], [432, 463], [31, 62]]"
24,sufficiency,top-local,good,good,-0.005314350128173828,-0.013665199279785156,0,"[[0, 31], [432, 463], [31, 62]]"
24,sufficiency,random,good,good,0.01888751983642578,-0.001651763916015625,0,"[[406, 437], [15, 46], [272, 303]]"
24,sufficiency,same-class,good,good,0.012914657592773438,0.00554656982421875,0,"[[0, 31], [432, 463], [31, 62]]"
24,sufficiency,donor global-mean,good,good,0.01079559326171875,-0.0059413909912109375,0,"[[0, 31], [432, 463], [31, 62]]"
25,necessity,top-local,medium,medium,0.06057262420654297,-0.05426788330078125,0,"[[489, 520], [445, 476], [594, 625]]"
25,necessity,random,medium,medium,0.272219181060791,-0.12200736999511719,0,"[[12, 43], [273, 304], [558, 589]]"
25,necessity,same-class,medium,medium,-0.0742635726928711,-0.043972015380859375,0,"[[489, 520], [445, 476], [594, 625]]"
25,necessity,donor global-mean,medium,medium,-0.04882049560546875,-0.04878425598144531,0,"[[489, 520], [445, 476], [594, 625]]"
25,sufficiency,top-local,medium,medium,-0.01593315601348877,-0.02074575424194336,0,"[[489, 520], [445, 476], [594, 625]]"
25,sufficiency,random,medium,medium,0.01766836643218994,-0.05200529098510742,0,"[[12, 43], [273, 304], [558, 589]]"
25,sufficiency,same-class,medium,medium,-0.010437726974487305,0.019292354583740234,0,"[[489, 520], [445, 476], [594, 625]]"
25,sufficiency,donor global-mean,medium,medium,-0.01095569133758545,0.02400827407836914,0,"[[489, 520], [445, 476], [594, 625]]"
26,necessity,top-local,medium,medium,-0.017664790153503418,-0.026480674743652344,0,"[[64, 95], [0, 31], [270, 301]]"
26,necessity,random,medium,medium,0.04852592945098877,-0.01759815216064453,0,"[[267, 298], [97, 128], [370, 401]]"
26,necessity,same-class,medium,medium,-0.04196798801422119,-0.02053546905517578,0,"[[64, 95], [0, 31], [270, 301]]"
26,necessity,donor global-mean,medium,medium,-0.03107321262359619,-0.03697633743286133,0,"[[64, 95], [0, 31], [270, 301]]"
26,sufficiency,top-local,good,good,-0.023232698440551758,-0.03384113311767578,0,"[[64, 95], [0, 31], [270, 301]]"
26,sufficiency,random,good,good,0.04642963409423828,0.011363983154296875,0,"[[267, 298], [97, 128], [370, 401]]"
26,sufficiency,same-class,good,good,-0.0031824111938476562,-0.048740386962890625,0,"[[64, 95], [0, 31], [270, 301]]"
26,sufficiency,donor global-mean,good,good,-0.01002955436706543,-0.004528999328613281,0,"[[64, 95], [0, 31], [270, 301]]"
27,necessity,top-local,medium,medium,0.007673025131225586,-0.0017676353454589844,0,"[[252, 283], [53, 84], [328, 359]]"
27,necessity,random,medium,medium,-0.012409567832946777,-0.03276348114013672,0,"[[292, 323], [361, 392], [236, 267]]"
27,necessity,same-class,medium,medium,0.07199335098266602,-0.05832099914550781,0,"[[252, 283], [53, 84], [328, 359]]"
27,necessity,donor global-mean,medium,medium,-0.00012135505676269531,-0.02294015884399414,0,"[[252, 283], [53, 84], [328, 359]]"
27,sufficiency,top-local,good,good,-0.0024056434631347656,-0.01515960693359375,0,"[[252, 283], [53, 84], [328, 359]]"
27,sufficiency,random,good,good,-0.03618574142456055,-0.0557708740234375,0,"[[292, 323], [361, 392], [236, 267]]"
27,sufficiency,same-class,good,good,0.012320995330810547,0.026534080505371094,0,"[[252, 283], [53, 84], [328, 359]]"
27,sufficiency,donor global-mean,good,good,0.026725292205810547,0.04155445098876953,0,"[[252, 283], [53, 84], [328, 359]]"
28,necessity,top-local,medium,medium,-0.0024437904357910156,-0.02385425567626953,0,"[[259, 290], [189, 220], [0, 31]]"
28,necessity,random,medium,medium,0.09605240821838379,-0.015333175659179688,0,"[[208, 239], [436, 467], [487, 518]]"
28,necessity,same-class,medium,medium,0.0008697509765625,-0.02906513214111328,0,"[[259, 290], [189, 220], [0, 31]]"
28,necessity,donor global-mean,medium,medium,-0.028632640838623047,-0.04903602600097656,0,"[[259, 290], [189, 220], [0, 31]]"
28,sufficiency,top-local,good,good,-0.004443645477294922,-0.006995677947998047,0,"[[259, 290], [189, 220], [0, 31]]"
28,sufficiency,random,good,good,0.04181480407714844,0.005033016204833984,0,"[[208, 239], [436, 467], [487, 518]]"
